max_df,min_df,n_features,train_accuracy,test_accuracy
0.99,2,250,0.8330536912751678,0.8657718120805369
0.99,2,500,0.8624161073825504,0.8825503355704698
0.99,2,1000,0.8884228187919463,0.9060402684563759
0.99,2,1500,0.9060402684563759,0.9093959731543624
0.99,2,2000,0.9085570469798657,0.9161073825503355
0.99,2,2500,0.910234899328859,0.9228187919463087
0.99,3,250,0.8330536912751678,0.8657718120805369
0.99,3,500,0.8624161073825504,0.8825503355704698
0.99,3,1000,0.8875838926174496,0.9060402684563759
0.99,3,1500,0.9077181208053692,0.9093959731543624
0.99,3,2000,0.9110738255033557,0.9161073825503355
0.99,3,2500,0.9119127516778524,0.9228187919463087
0.99,4,250,0.834731543624161,0.8657718120805369
0.99,4,500,0.8624161073825504,0.8825503355704698
0.99,4,1000,0.8875838926174496,0.9060402684563759
0.99,4,1500,0.9077181208053692,0.9093959731543624
0.99,4,2000,0.9110738255033557,0.9161073825503355
0.99,4,2500,0.915268456375839,0.9228187919463087
0.99,10,250,0.8330536912751678,0.8657718120805369
0.99,10,500,0.8624161073825504,0.8825503355704698
0.99,10,1000,0.8951342281879194,0.9060402684563759
0.99,10,1500,0.9077181208053692,0.9093959731543624
0.99,10,2000,0.9043624161073825,0.9228187919463087
0.99,10,2500,0.9085570469798657,0.9228187919463087
0.99,20,250,0.8330536912751678,0.8657718120805369
0.99,20,500,0.8582214765100671,0.8791946308724832
0.99,20,1000,0.8926174496644296,0.9060402684563759
0.99,20,1500,0.9010067114093959,0.9026845637583892
0.99,20,2000,0.8842281879194631,0.9060402684563759
0.99,20,2500,0.8842281879194631,0.9060402684563759
0.95,2,250,0.8330536912751678,0.8657718120805369
0.95,2,500,0.8624161073825504,0.8825503355704698
0.95,2,1000,0.8884228187919463,0.9060402684563759
0.95,2,1500,0.9060402684563759,0.9093959731543624
0.95,2,2000,0.9085570469798657,0.9161073825503355
0.95,2,2500,0.910234899328859,0.9228187919463087
0.95,3,250,0.8330536912751678,0.8657718120805369
0.95,3,500,0.8624161073825504,0.8825503355704698
0.95,3,1000,0.8875838926174496,0.9060402684563759
0.95,3,1500,0.9077181208053692,0.9093959731543624
0.95,3,2000,0.9110738255033557,0.9161073825503355
0.95,3,2500,0.9119127516778524,0.9228187919463087
0.95,4,250,0.834731543624161,0.8657718120805369
0.95,4,500,0.8624161073825504,0.8825503355704698
0.95,4,1000,0.8875838926174496,0.9060402684563759
0.95,4,1500,0.9077181208053692,0.9093959731543624
0.95,4,2000,0.9110738255033557,0.9161073825503355
0.95,4,2500,0.915268456375839,0.9228187919463087
0.95,10,250,0.8330536912751678,0.8657718120805369
0.95,10,500,0.8624161073825504,0.8825503355704698
0.95,10,1000,0.8951342281879194,0.9060402684563759
0.95,10,1500,0.9077181208053692,0.9093959731543624
0.95,10,2000,0.9043624161073825,0.9228187919463087
0.95,10,2500,0.9085570469798657,0.9228187919463087
0.95,20,250,0.8330536912751678,0.8657718120805369
0.95,20,500,0.8582214765100671,0.8791946308724832
0.95,20,1000,0.8926174496644296,0.9060402684563759
0.95,20,1500,0.9010067114093959,0.9026845637583892
0.95,20,2000,0.8842281879194631,0.9060402684563759
0.95,20,2500,0.8842281879194631,0.9060402684563759
0.9,2,250,0.8330536912751678,0.8657718120805369
0.9,2,500,0.8624161073825504,0.8825503355704698
0.9,2,1000,0.8884228187919463,0.9060402684563759
0.9,2,1500,0.9060402684563759,0.9093959731543624
0.9,2,2000,0.9085570469798657,0.9161073825503355
0.9,2,2500,0.910234899328859,0.9228187919463087
0.9,3,250,0.8330536912751678,0.8657718120805369
0.9,3,500,0.8624161073825504,0.8825503355704698
0.9,3,1000,0.8875838926174496,0.9060402684563759
0.9,3,1500,0.9077181208053692,0.9093959731543624
0.9,3,2000,0.9110738255033557,0.9161073825503355
0.9,3,2500,0.9119127516778524,0.9228187919463087
0.9,4,250,0.834731543624161,0.8657718120805369
0.9,4,500,0.8624161073825504,0.8825503355704698
0.9,4,1000,0.8875838926174496,0.9060402684563759
0.9,4,1500,0.9077181208053692,0.9093959731543624
0.9,4,2000,0.9110738255033557,0.9161073825503355
0.9,4,2500,0.915268456375839,0.9228187919463087
0.9,10,250,0.8330536912751678,0.8657718120805369
0.9,10,500,0.8624161073825504,0.8825503355704698
0.9,10,1000,0.8951342281879194,0.9060402684563759
0.9,10,1500,0.9077181208053692,0.9093959731543624
0.9,10,2000,0.9043624161073825,0.9228187919463087
0.9,10,2500,0.9085570469798657,0.9228187919463087
0.9,20,250,0.8330536912751678,0.8657718120805369
0.9,20,500,0.8582214765100671,0.8791946308724832
0.9,20,1000,0.8926174496644296,0.9060402684563759
0.9,20,1500,0.9010067114093959,0.9026845637583892
0.9,20,2000,0.8842281879194631,0.9060402684563759
0.9,20,2500,0.8842281879194631,0.9060402684563759
0.85,2,250,0.8330536912751678,0.8657718120805369
0.85,2,500,0.8624161073825504,0.8825503355704698
0.85,2,1000,0.8884228187919463,0.9060402684563759
0.85,2,1500,0.9060402684563759,0.9093959731543624
0.85,2,2000,0.9085570469798657,0.9161073825503355
0.85,2,2500,0.910234899328859,0.9228187919463087
0.85,3,250,0.8330536912751678,0.8657718120805369
0.85,3,500,0.8624161073825504,0.8825503355704698
0.85,3,1000,0.8875838926174496,0.9060402684563759
0.85,3,1500,0.9077181208053692,0.9093959731543624
0.85,3,2000,0.9110738255033557,0.9161073825503355
0.85,3,2500,0.9119127516778524,0.9228187919463087
0.85,4,250,0.834731543624161,0.8657718120805369
0.85,4,500,0.8624161073825504,0.8825503355704698
0.85,4,1000,0.8875838926174496,0.9060402684563759
0.85,4,1500,0.9077181208053692,0.9093959731543624
0.85,4,2000,0.9110738255033557,0.9161073825503355
0.85,4,2500,0.915268456375839,0.9228187919463087
0.85,10,250,0.8330536912751678,0.8657718120805369
0.85,10,500,0.8624161073825504,0.8825503355704698
0.85,10,1000,0.8951342281879194,0.9060402684563759
0.85,10,1500,0.9077181208053692,0.9093959731543624
0.85,10,2000,0.9043624161073825,0.9228187919463087
0.85,10,2500,0.9085570469798657,0.9228187919463087
0.85,20,250,0.8330536912751678,0.8657718120805369
0.85,20,500,0.8582214765100671,0.8791946308724832
0.85,20,1000,0.8926174496644296,0.9060402684563759
0.85,20,1500,0.9010067114093959,0.9026845637583892
0.85,20,2000,0.8842281879194631,0.9060402684563759
0.85,20,2500,0.8842281879194631,0.9060402684563759
0.8,2,250,0.8246644295302014,0.8590604026845637
0.8,2,500,0.8708053691275168,0.889261744966443
0.8,2,1000,0.8959731543624161,0.9060402684563759
0.8,2,1500,0.9077181208053692,0.9161073825503355
0.8,2,2000,0.9085570469798657,0.9228187919463087
0.8,2,2500,0.915268456375839,0.9261744966442953
0.8,3,250,0.8246644295302014,0.8590604026845637
0.8,3,500,0.8708053691275168,0.889261744966443
0.8,3,1000,0.8968120805369127,0.9060402684563759
0.8,3,1500,0.9077181208053692,0.912751677852349
0.8,3,2000,0.910234899328859,0.9194630872483222
0.8,3,2500,0.9169463087248322,0.9261744966442953
0.8,4,250,0.8246644295302014,0.8590604026845637
0.8,4,500,0.8708053691275168,0.889261744966443
0.8,4,1000,0.8934563758389261,0.9161073825503355
0.8,4,1500,0.9018456375838926,0.9295302013422819
0.8,4,2000,0.9110738255033557,0.9261744966442953
0.8,4,2500,0.9186241610738255,0.9261744966442953
0.8,10,250,0.8246644295302014,0.8590604026845637
0.8,10,500,0.8708053691275168,0.889261744966443
0.8,10,1000,0.8926174496644296,0.9060402684563759
0.8,10,1500,0.9060402684563759,0.9161073825503355
0.8,10,2000,0.9093959731543624,0.9295302013422819
0.8,10,2500,0.912751677852349,0.9295302013422819
0.8,20,250,0.8246644295302014,0.8590604026845637
0.8,20,500,0.87248322147651,0.8926174496644296
0.8,20,1000,0.8934563758389261,0.9060402684563759
0.8,20,1500,0.8984899328859061,0.9261744966442953
0.8,20,2000,0.8993288590604027,0.9228187919463087
0.8,20,2500,0.8993288590604027,0.9228187919463087
